source_label	target_label	freq	synergy_max	synergy_min	synergy_mean	env_list
Novosphingobium	Cellulomonas xylanilytica	1	7.401486830834373e-32	7.401486830834373e-32	7.401486830834373e-32	['Sediment_(non-saline)']
Novosphingobium	Veillonella dispar	1	3.947459643111667e-31	9.868649107779168e-32	2.302684791815139e-31	['Sediment_(non-saline)']
Novosphingobium	Achromobacter	1	4.440892098500626e-31	2.2204460492503124e-31	3.330669073875469e-31	['Plant_rhizosphere']
Novosphingobium	Pseudomonas	1	1.233581138472396e-31	1.233581138472396e-31	1.233581138472396e-31	['Plant_rhizosphere']
Novosphingobium	Nocardioides plantarum	1	2.066193176018204e-06	2.066193176018204e-06	2.066193176018204e-06	['Animal_proximal_gut']
Novosphingobium	Chthoniobacter	1	1.4927368398321426e-31	2.487894733053572e-32	6.397443599280613e-32	['Animal_proximal_gut']
Novosphingobium	Dyadobacter	1	9.868649107779168e-32	7.401486830834373e-32	8.635067969306772e-32	['Sediment_(non-saline)']
Novosphingobium	Flavobacterium succinicans	1	0.0002480666329515	0.0002480666329515	0.0002480666329515	['Plant_rhizosphere']
Novosphingobium	Chryseobacterium	1	1.480297366166875e-31	4.934324553889584e-32	8.22387425648264e-32	['Sediment_(non-saline)']
Novosphingobium	Brevundimonas diminuta	1	1.233581138472396e-31	7.401486830834373e-32	9.046261682130903e-32	['Sediment_(non-saline)']
Novosphingobium	Rhizobium	1	6.41462192005646e-30	3.848773152033875e-30	4.70405607470807e-30	['Sediment_(non-saline)']
Novosphingobium	Luteolibacter	1	1.1842378929335e-30	1.1842378929335e-30	1.1842378929335e-30	['Sediment_(non-saline)']
Novosphingobium	Janthinobacterium	1	1.233581138472396e-31	9.868649107779168e-32	1.1102230246251564e-31	['Sediment_(non-saline)']
Novosphingobium	Rhodoplanes	1	2.960594732333755e-17	2.467162276944792e-32	2.6914497566671105e-18	['Sediment_(non-saline)']
Novosphingobium	Hylemonella	1	8.881784197001251e-31	1.480297366166875e-31	3.947459643111666e-31	['Sediment_(non-saline)']
Novosphingobium	Sphingomonas	1	1.233581138472396e-31	2.467162276944792e-32	6.385596481504168e-32	['Sediment_(non-saline)']
