method	N	precision	baseline	lift
Spearman-sum(posonly)	333	0.003003003003003003	0.001373534338358459	2.186332674137552
Spearman-sum(posonly)	362	0.0027624309392265192	0.001373534338358459	2.011184476485649
Spearman-sum(posonly)	395	0.002531645569620253	0.001373534338358459	1.8431614695893794
Spearman-sum(posonly)	400	0.0025	0.001373534338358459	1.8201219512195124
Spearman-sum(posonly)	430	0.002325581395348837	0.001373534338358459	1.6931366988088485
Spearman-sum(posonly)	468	0.002136752136752137	0.001373534338358459	1.5556597873671048
Spearman-sum(posonly)	500	0.002	0.001373534338358459	1.45609756097561
Spearman-sum(posonly)	509	0.0019646365422396855	0.001373534338358459	1.4303512386793809
Spearman-sum(posonly)	554	0.0036101083032490976	0.001373534338358459	2.628334947609404
Spearman-sum(posonly)	600	0.0033333333333333335	0.001373534338358459	2.4268292682926833
Spearman-sum(posonly)	603	0.003316749585406302	0.001373534338358459	2.4147554908384907
Spearman-sum(posonly)	657	0.0030441400304414	0.001373534338358459	2.2162824367969707
Spearman-sum(posonly)	715	0.002797202797202797	0.001373534338358459	2.036500085280573
Spearman-sum(posonly)	778	0.002570694087403599	0.001373534338358459	1.8715906953414005
Spearman-sum(posonly)	800	0.0025	0.001373534338358459	1.8201219512195124
Spearman-sum(posonly)	847	0.0023612750885478157	0.001373534338358459	1.7191234486134708
Spearman-sum(posonly)	922	0.0021691973969631237	0.001373534338358459	1.579281519496323
Spearman-sum(posonly)	1000	0.002	0.001373534338358459	1.45609756097561
Spearman-sum(posonly)	1004	0.00199203187250996	0.001373534338358459	1.4502963754737148
Spearman-sum(posonly)	1093	0.0027447392497712718	0.001373534338358459	1.998304063552987
Spearman-sum(posonly)	1190	0.0025210084033613447	0.001373534338358459	1.8354170936667351
Spearman-sum(posonly)	1296	0.0023148148148148147	0.001373534338358459	1.6852981029810297
Spearman-sum(posonly)	1410	0.002127659574468085	0.001373534338358459	1.5490399584846912
Spearman-sum(posonly)	1500	0.002	0.001373534338358459	1.45609756097561
Spearman-sum(posonly)	1535	0.001954397394136808	0.001373534338358459	1.4228966393898468
Spearman-sum(posonly)	1671	0.0017953321364452424	0.001373534338358459	1.307089372509524
Spearman-sum(posonly)	1820	0.0016483516483516484	0.001373534338358459	1.2000804073974807
Spearman-sum(posonly)	1981	0.0020191822311963654	0.001373534338358459	1.4700631610051589
Spearman-sum(posonly)	2000	0.002	0.001373534338358459	1.45609756097561
Spearman-sum(posonly)	2157	0.0018544274455261937	0.001373534338358459	1.3501136402184606
Spearman-sum(posonly)	2348	0.0017035775127768314	0.001373534338358459	1.2402875306436199
Spearman-sum(posonly)	2556	0.001564945226917058	0.001373534338358459	1.1393564639871752
Spearman-sum(posonly)	2782	0.0014378145219266715	0.001373534338358459	1.0467991092563693
Spearman-sum(posonly)	3000	0.0013333333333333333	0.001373534338358459	0.9707317073170731
Spearman-sum(posonly)	3029	0.0013205678441729944	0.001373534338358459	0.9614378085015581
Spearman-sum(posonly)	3297	0.001516530178950561	0.001373534338358459	1.1041079473579085
Spearman-sum(posonly)	3590	0.001392757660167131	0.001373534338358459	1.0139955159997283
Spearman-sum(posonly)	3908	0.00127942681678608	0.001373534338358459	0.9314851336844997
Spearman-sum(posonly)	4254	0.0016455101081335214	0.001373534338358459	1.1980116275069663
Spearman-sum(posonly)	4631	0.0015115525804361909	0.001373534338358459	1.1004840128297635
Spearman-sum(posonly)	5000	0.0014	0.001373534338358459	1.0192682926829268
Spearman-sum(posonly)	5042	0.0015866719555731853	0.001373534338358459	1.155174582289258
Spearman-sum(posonly)	5489	0.0016396429222080525	0.001373534338358459	1.1937400299490335
Spearman-sum(posonly)	5975	0.0015062761506276152	0.001373534338358459	1.0966425145423004
Spearman-sum(posonly)	6505	0.0013835511145272868	0.001373534338358459	1.0072927016741344
Spearman-sum(posonly)	7081	0.0014122299110295156	0.001373534338358459	1.0281722644934401
Spearman-sum(posonly)	7709	0.0012971851083149566	0.001373534338358459	0.9444140361756452
Spearman-sum(posonly)	8392	0.0013107721639656815	0.001373534338358459	0.9543060754725755
Spearman-sum(posonly)	9136	0.0013134851138353765	0.001373534338358459	0.9562812353167315
Spearman-sum(posonly)	9946	0.001407601045646491	0.001373534338358459	1.0248022246962867
Spearman-sum(posonly)	10000	0.0014	0.001373534338358459	1.0192682926829268
Spearman-sum(posonly)	10827	0.001293063637203288	0.001373534338358459	0.9414134041589792
Spearman-sum(posonly)	11787	0.001357427674556715	0.001373534338358459	0.9882735630614132
Spearman-sum(posonly)	12832	0.0012468827930174563	0.001373534338358459	0.9077914968675871
Spearman-sum(posonly)	13969	0.0013601546281050898	0.001373534338358459	0.9902589182667544
Spearman-sum(posonly)	15208	0.0014466070489216202	0.001373534338358459	1.0532004978124478
Spearman-sum(posonly)	16555	0.001570522500755059	0.001373534338358459	1.1434169914033783
Spearman-sum(posonly)	18023	0.0016090550962658825	0.001373534338358459	1.1714706005740634
Spearman-sum(posonly)	19620	0.0015290519877675841	0.001373534338358459	1.1132244349966436
Spearman-sum(posonly)	20000	0.0015	0.001373534338358459	1.0920731707317073
Spearman-sum(posonly)	21359	0.0015450161524415936	0.001373534338358459	1.1248471256190626
Spearman-sum(posonly)	23253	0.0015911925342966498	0.001373534338358459	1.1584657841159756
Spearman-sum(posonly)	25314	0.0016196571067393537	0.001373534338358459	1.179189381369993
Spearman-sum(posonly)	27557	0.0016329789164277679	0.001373534338358459	1.1888883086675335
Spearman-sum(posonly)	30000	0.0015666666666666667	0.001373534338358459	1.140609756097561
