target	site	m	topK	truth_sources	truth_pairs	hits_in_topK	hit_rate	topK_mean_synergy	topK_max_synergy
S123	site1	10	80	6	15	0	0.0	0.013494419865310192	0.2836841344833374
S65	site1	10	80	5	10	0	0.0	0.013433322310447693	0.07480347901582718
S108	site1	10	80	10	45	0	0.0	0.013413496315479279	0.23236648738384247
S144	site1	10	80	9	36	0	0.0	0.013329848647117615	0.3443760871887207
S172	site1	10	80	10	45	0	0.0	0.013302740640938282	0.13916274905204773
S153	site1	10	80	6	15	0	0.0	0.01325339637696743	0.14527718722820282
S159	site1	10	80	6	15	0	0.0	0.013207117095589638	0.16974548995494843
S133	site1	10	80	6	15	0	0.0	0.013186924159526825	0.20531925559043884
S192	site1	10	80	4	6	0	0.0	0.013145431876182556	0.36364081501960754
S154	site1	10	80	8	28	0	0.0	0.013127945363521576	0.15643936395645142
S100	site1	10	80	4	6	0	0.0	0.013113528490066528	0.2041483223438263
S179	site1	10	80	6	15	0	0.0	0.013103040866553783	0.12708447873592377
S121	site1	10	80	7	21	0	0.0	0.013063940219581127	0.23882514238357544
S113	site1	10	80	9	36	0	0.0	0.013051887974143028	0.23221230506896973
S195	site1	10	80	10	45	0	0.0	0.01304703950881958	0.26960912346839905
S50	site1	10	80	9	36	0	0.0	0.012999230995774269	0.22587640583515167
S137	site1	10	80	7	21	0	0.0	0.012983838096261024	0.13233734667301178
S173	site1	10	80	10	45	0	0.0	0.01296643353998661	0.14165110886096954
S118	site1	10	80	6	15	0	0.0	0.012960106134414673	0.15233038365840912
S143	site1	10	80	10	45	0	0.0	0.012956653721630573	0.23580212891101837
S55	site1	10	80	8	28	0	0.0	0.012952123768627644	0.22424988448619843
S35	site1	10	80	7	21	0	0.0	0.012944057583808899	0.18183720111846924
S28	site1	10	80	7	21	0	0.0	0.012892973609268665	0.19067326188087463
S132	site1	10	80	9	36	0	0.0	0.012868588790297508	0.1803612858057022
S183	site1	10	80	6	15	0	0.0	0.01275511272251606	0.19165022671222687
S128	site1	10	80	6	15	0	0.0	0.012700927443802357	0.1483345627784729
S34	site1	10	80	5	10	0	0.0	0.012682532891631126	0.20797333121299744
S140	site1	10	80	6	15	0	0.0	0.012639346532523632	0.21461081504821777
S61	site1	10	80	5	10	0	0.0	0.012582682073116302	0.14711689949035645
S94	site1	10	80	6	15	0	0.0	0.01255866326391697	0.1171184629201889
S81	site1	10	80	7	21	0	0.0	0.012515542097389698	0.1449238508939743
S184	site1	10	80	6	15	0	0.0	0.012489331886172295	0.17197486758232117
S44	site1	10	80	10	45	0	0.0	0.012366258539259434	0.1911228746175766
S180	site1	10	80	7	21	0	0.0	0.012315076775848866	0.18004970252513885
S188	site1	10	80	7	21	0	0.0	0.012262565083801746	0.12138330936431885
S193	site1	10	80	5	10	0	0.0	0.01223420724272728	0.1596263200044632
S70	site1	10	80	4	6	0	0.0	0.012224040925502777	0.16728605329990387
S111	site1	10	80	6	15	0	0.0	0.012171408161520958	0.23067086935043335
S8	site1	10	80	9	36	0	0.0	0.012137740850448608	0.09464964270591736
S84	site1	10	80	9	36	0	0.0	0.01213121972978115	0.15264998376369476
S15	site1	10	80	10	45	0	0.0	0.012112763710319996	0.14871446788311005
S199	site1	10	80	7	21	0	0.0	0.012010450474917889	0.1387186050415039
S115	site1	10	80	9	36	0	0.0	0.012010266073048115	0.2248280942440033
S182	site1	10	80	6	15	0	0.0	0.011986657045781612	0.1265058070421219
S48	site1	10	80	5	10	0	0.0	0.011938179843127728	0.2501969337463379
S152	site1	10	80	9	36	0	0.0	0.011903852224349976	0.10947611927986145
S62	site1	10	80	9	36	0	0.0	0.011889496818184853	0.13255035877227783
S97	site1	10	80	6	15	0	0.0	0.011870384216308594	0.1019534096121788
S16	site1	10	80	8	28	0	0.0	0.011853760108351707	0.07905933260917664
S58	site1	10	80	6	15	0	0.0	0.011851652525365353	0.1043504923582077
S5	site1	10	80	7	21	0	0.0	0.011832448653876781	0.24813973903656006
S69	site1	10	80	5	10	0	0.0	0.011769712902605534	0.15300224721431732
S46	site1	10	80	10	45	0	0.0	0.01173707377165556	0.08480218052864075
S37	site1	10	80	9	36	0	0.0	0.011672185733914375	0.10298790782690048
S171	site1	10	80	10	45	0	0.0	0.011574411764740944	0.18224003911018372
S86	site1	10	80	6	15	0	0.0	0.011419110000133514	0.07486800104379654
S66	site1	10	80	9	36	0	0.0	0.011293021030724049	0.13480675220489502
S93	site1	10	80	4	6	0	0.0	0.011291504837572575	0.12807652354240417
S85	site1	10	80	7	21	0	0.0	0.011255355551838875	0.11997107416391373
S14	site1	10	80	10	45	0	0.0	0.01123185083270073	0.20502200722694397
S24	site1	10	80	8	28	0	0.0	0.011085177771747112	0.1440846174955368
S30	site1	10	80	10	45	0	0.0	0.011062459088861942	0.11535868048667908
S104	site1	10	80	7	21	0	0.0	0.01105612050741911	0.13050036132335663
S11	site1	10	80	5	10	0	0.0	0.010998142883181572	0.1223517507314682
S185	site1	10	80	9	36	0	0.0	0.01098703034222126	0.16470839083194733
S189	site1	10	80	5	10	0	0.0	0.01089578215032816	0.15011253952980042
S79	site1	10	80	8	28	0	0.0	0.010893723927438259	0.11654730141162872
